Student ID,Focused Time (s),Distracted Time (s),Engagement Score (%),Status
ID 1,30.3,17.5,63%,Inattentive
ID 2,0.6,6.6,8%,Inattentive
ID 3,13.2,12.7,50%,Inattentive
