Student ID,Focused Time (s),Distracted Time (s),Engagement Score (%),Status
ID 1,47.6,7.4,86%,Attentive
ID 2,272.4,18.2,93%,Attentive
ID 3,212.6,58.5,78%,Attentive
ID 4,23.0,2.1,91%,Attentive
